VALUE,CLASS_NAME,ID,FAMILY,FID,A_N
0,Background,0,NON-AG,0,N
7,non-specified,0,NON-AG,0,N
8,non-specified,0,NON-AG,0,N
9,non-specified,0,NON-AG,0,N
15,non-specified,0,NON-AG,0,N
16,non-specified,0,NON-AG,0,N
17,non-specified,0,NON-AG,0,N
18,non-specified,0,NON-AG,0,N
19,non-specified,0,NON-AG,0,N
20,non-specified,0,NON-AG,0,N
40,non-specified,0,NON-AG,0,N
61,Fallow/Idle Cropland,0,NON-AG,0,N
62,non-specified,0,NON-AG,0,N
63,Forest,0,NON-AG,0,N
64,Shrubland,0,NON-AG,0,N
65,Barren,0,NON-AG,0,N
73,non-specified,0,NON-AG,0,N
78,non-specified,0,NON-AG,0,N
79,non-specified,0,NON-AG,0,N
80,non-specified,0,NON-AG,0,N
81,Clouds/No Data,0,NON-AG,0,N
82,Developed,0,NON-AG,0,N
83,Water,0,NON-AG,0,N
84,non-specified,0,NON-AG,0,N
85,non-specified,0,NON-AG,0,N
86,non-specified,0,NON-AG,0,N
87,Wetlands,0,NON-AG,0,N
88,Nonag/Undefined,0,NON-AG,0,N
89,non-specified,0,NON-AG,0,N
90,non-specified,0,NON-AG,0,N
91,non-specified,0,NON-AG,0,N
92,Aquaculture,0,NON-AG,0,N
93,non-specified,0,NON-AG,0,N
94,non-specified,0,NON-AG,0,N
95,non-specified,0,NON-AG,0,N
96,non-specified,0,NON-AG,0,N
97,non-specified,0,NON-AG,0,N
98,non-specified,0,NON-AG,0,N
99,non-specified,0,NON-AG,0,N
100,non-specified,0,NON-AG,0,N
101,non-specified,0,NON-AG,0,N
102,non-specified,0,NON-AG,0,N
103,non-specified,0,NON-AG,0,N
104,non-specified,0,NON-AG,0,N
105,non-specified,0,NON-AG,0,N
106,non-specified,0,NON-AG,0,N
107,non-specified,0,NON-AG,0,N
108,non-specified,0,NON-AG,0,N
109,non-specified,0,NON-AG,0,N
110,non-specified,0,NON-AG,0,N
111,Open Water,0,NON-AG,0,N
112,Perennial Ice/Snow,0,NON-AG,0,N
113,non-specified,0,NON-AG,0,N
114,non-specified,0,NON-AG,0,N
115,non-specified,0,NON-AG,0,N
