GROUP_DESC,COMMODITY_DESC,CLASS_DESC,VALUE
VEGETABLES,BEANS,SNAP,233784
FIELD CROPS,COTTON,ALL CLASSES,9305746
FIELD CROPS,COTTON,UPLAND,8940857
FIELD CROPS,HAY & HAYLAGE,ALL CLASSES,55762385
FIELD CROPS,HAY,ALL CLASSES,51526704
FIELD CROPS,HAY,ALFALFA,16527052
FIELD CROPS,HAY,SMALL GRAIN,3599064
FIELD CROPS,HAY,WILD,7232175
FIELD CROPS,SOYBEANS,ALL CLASSES,76031431
FIELD CROPS,SUNFLOWER,ALL CLASSES,1823048
FIELD CROPS,SUNFLOWER,NON-OIL TYPE,191808
FIELD CROPS,WHEAT,ALL CLASSES,48951262
FIELD CROPS,WHEAT,WINTER,33285369
VEGETABLES,SWEET CORN,ALL CLASSES,603316.5
VEGETABLES,OKRA,ALL CLASSES,3349.5
VEGETABLES,PUMPKINS,ALL CLASSES,102469.5
VEGETABLES,SQUASH,ALL CLASSES,78224
FIELD CROPS,HAYLAGE,(EXCL ALFALFA),2007671
FIELD CROPS,HAYLAGE,ALL CLASSES,5437143
FIELD CROPS,HAY,"TAME, (EXCL ALFALFA & SMALL GRAIN)",23543541
FRUIT & TREE NUTS,APPLES,ALL CLASSES,374319.5
FRUIT & TREE NUTS,GRAPES,ALL CLASSES,1131935
FRUIT & TREE NUTS,PEACHES,ALL CLASSES,106867.5
FRUIT & TREE NUTS,PEARS,ALL CLASSES,53934.5
FRUIT & TREE NUTS,PECANS,ALL CLASSES,441932
FRUIT & TREE NUTS,PECANS,IMPROVED,270776.5
FRUIT & TREE NUTS,PECANS,NATIVE & SEEDLING,201922.5
HORTICULTURE,CUT CHRISTMAS TREES,ALL CLASSES,297445
HORTICULTURE,CUT FLOWERS & CUT CULTIVATED GREENS,ALL CLASSES,16906
HORTICULTURE,SOD,ALL CLASSES,182511
VEGETABLES,CUCUMBERS,ALL CLASSES,82463.5
VEGETABLES,MELONS,CANTALOUP,110982
VEGETABLES,MELONS,WATERMELON,192809.5
VEGETABLES,ONIONS,DRY,152420
VEGETABLES,PEAS,"GREEN, (EXCL SOUTHERN)",224620.5
VEGETABLES,POTATOES,ALL CLASSES,937633.5
VEGETABLES,SQUASH,SUMMER,26040.5
VEGETABLES,TOMATOES,ALL CLASSES,402784.5
VEGETABLES,"VEGETABLES, OTHER",ALL CLASSES,72524
FIELD CROPS,CORN,ALL CLASSES,94389883
FIELD CROPS,GRASSES,FESCUE,199585
FRUIT & TREE NUTS,ORCHARDS,ALL CLASSES,5162478.5
FIELD CROPS,HAYLAGE,ALFALFA,2878753
FRUIT & TREE NUTS,BLUEBERRIES,TAME,92959
FRUIT & TREE NUTS,CHESTNUTS,ALL CLASSES,2038
HORTICULTURE,SHORT TERM WOODY CROPS,ALL CLASSES,49326
VEGETABLES,PEAS,"GREEN, SOUTHERN (COWPEAS)",9798
FRUIT & TREE NUTS,BLACKBERRIES,INCL DEWBERRIES & MARIONBERRIES,12986.5
FIELD CROPS,OATS,ALL CLASSES,1033346
FIELD CROPS,RYE,ALL CLASSES,209205
VEGETABLES,PEPPERS,BELL,50350
VEGETABLES,PEPPERS,CHILE,23248
FIELD CROPS,"FIELD CROPS, OTHER",ALL CLASSES,20519
FIELD CROPS,PEAS,"DRY, SOUTHERN (COWPEAS)",10364
FIELD CROPS,TRITICALE,ALL CLASSES,24687
FRUIT & TREE NUTS,CHERRIES,TART,48828.5
FRUIT & TREE NUTS,FIGS,ALL CLASSES,6180
FRUIT & TREE NUTS,HAZELNUTS,ALL CLASSES,37651.5
VEGETABLES,CABBAGE,HEAD,67100
VEGETABLES,EGGPLANT,ALL CLASSES,6973
VEGETABLES,GREENS,TURNIP,3405
FIELD CROPS,SORGHUM,ALL CLASSES,5464970
HORTICULTURE,"FLOWERING PLANTS, POTTED",INDOOR USE,2287
FIELD CROPS,CANOLA,ALL CLASSES,1707328
FIELD CROPS,PEANUTS,ALL CLASSES,1577218
FRUIT & TREE NUTS,PLUMS & PRUNES,ALL CLASSES,87263
VEGETABLES,BEETS,ALL CLASSES,12772
VEGETABLES,SPINACH,ALL CLASSES,43117.5
HORTICULTURE,BULBS & CORMS & RHIZOMES & TUBERS,DRY,1505.5
