GROUP_DESC,COMMODITY_DESC,CLASS_DESC,VALUE,CROP_SP,IN_CDL,CDL_CAT
FRUIT & TREE NUTS,ALMONDS,ALL CLASSES,889618.5,ALMONDS,TRUE,ALMONDS
FRUIT & TREE NUTS,APPLES,ALL CLASSES,374319.5,APPLES,TRUE,APPLES
FRUIT & TREE NUTS,APRICOTS,ALL CLASSES,12911,APRICOTS,TRUE,APRICOTS
HORTICULTURE,AQUATIC PLANTS,ALL CLASSES,263.5,torm,NA,NA
VEGETABLES,ARTICHOKES,ALL CLASSES,14298,ARTICHOKES,FALSE,MISC VEGS & FRUITS
VEGETABLES,ASPARAGUS,ALL CLASSES,26298,ASPARAGUS,TRUE,ASPARAGUS
FRUIT & TREE NUTS,AVOCADOS,ALL CLASSES,73249.5,AVOCADOS,FALSE,OTHER TREE CROPS
FRUIT & TREE NUTS,BANANAS,ALL CLASSES,1908.5,BANANAS,FALSE,MISC VEGS & FRUITS
FIELD CROPS,BARLEY,ALL CLASSES,3227551,BARLEY,TRUE,BARLEY
VEGETABLES,BEANS,SNAP,233784,BEANS,TRUE,BEANS
VEGETABLES,BEANS,"GREEN, LIMA",33447.5,LIMA BEANS,FALSE,BEANS
FIELD CROPS,BEANS,"DRY EDIBLE, (EXCL LIMA)",1590736,BEANS,TRUE,BEANS
FIELD CROPS,BEANS,"DRY EDIBLE, LIMA",14555,LIMA BEANS,FALSE,BEANS
VEGETABLES,BEETS,ALL CLASSES,12772,BEETS,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,"BERRIES, OTHER",ALL CLASSES,1299,"BERRIES, OTHER",FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,BLACKBERRIES,INCL DEWBERRIES & MARIONBERRIES,12986.5,BLACKBERRIES,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,BLUEBERRIES,TAME,92959,BLUEBERRIES,TRUE,BLUEBERRIES
FRUIT & TREE NUTS,BLUEBERRIES,WILD,40213.5,BLUEBERRIES,TRUE,BLUEBERRIES
FRUIT & TREE NUTS,BOYSENBERRIES,ALL CLASSES,578.5,BOYSENBERRIES,FALSE,MISC VEGS & FRUITS
VEGETABLES,BROCCOLI,ALL CLASSES,120136.5,BRASSICA OLERACEA,TRUE,BRASSICA OLERACEA
VEGETABLES,BRUSSELS SPROUTS,ALL CLASSES,7910.5,BRASSICA OLERACEA,TRUE,BRASSICA OLERACEA
FIELD CROPS,BUCKWHEAT,ALL CLASSES,26554,BUCKWHEAT,TRUE,BUCKWHEAT
HORTICULTURE,BULBS & CORMS & RHIZOMES & TUBERS,DRY,1505.5,torm,NA,NA
VEGETABLES,CABBAGE,HEAD,67100,BRASSICA OLERACEA,TRUE,BRASSICA OLERACEA
VEGETABLES,CABBAGE,CHINESE,7985,BRASSICA OLERACEA,TRUE,BRASSICA OLERACEA
VEGETABLES,CABBAGE,MUSTARD,139,BRASSICA OLERACEA,TRUE,BRASSICA OLERACEA
FIELD CROPS,CAMELINA,ALL CLASSES,16,CAMELINA,TRUE,CAMELINA
FIELD CROPS,CANOLA,ALL CLASSES,1707328,BRASSICA NAPUS,TRUE,BRASSICA NAPUS
VEGETABLES,CARROTS,ALL CLASSES,70800.5,CARROTS,TRUE,CARROTS
VEGETABLES,CAULIFLOWER,ALL CLASSES,40629.5,BRASSICA OLERACEA,TRUE,BRASSICA OLERACEA
VEGETABLES,CELERY,ALL CLASSES,29583,CELERY,TRUE,CELERY
FRUIT & TREE NUTS,CHERRIES,TART,48828.5,CHERRIES,TRUE,CHERRIES
FRUIT & TREE NUTS,CHERRIES,SWEET,104065.5,CHERRIES,TRUE,CHERRIES
FRUIT & TREE NUTS,CHESTNUTS,ALL CLASSES,2038,CHESTNUTS,FALSE,OTHER TREE CROPS
VEGETABLES,CHICORY,ALL CLASSES,79,CHICORY,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,"CITRUS, OTHER",ALL CLASSES,3678,"CITRUS, OTHER",TRUE,"CITRUS, OTHER"
FRUIT & TREE NUTS,COFFEE,ALL CLASSES,4,COFFEE,FALSE,MISC VEGS & FRUITS
FIELD CROPS,CORN,ALL CLASSES,94389883,MAIZE,TRUE,MAIZE
FIELD CROPS,COTTON,ALL CLASSES,9305746,COTTON,TRUE,COTTON
FIELD CROPS,COTTON,UPLAND,8940857,torm,NA,NA
FIELD CROPS,COTTON,PIMA,237925,torm,NA,NA
FRUIT & TREE NUTS,CRANBERRIES,ALL CLASSES,41155.5,CRANBERRIES,TRUE,CRANBERRIES
VEGETABLES,CUCUMBERS,ALL CLASSES,82463.5,CUCUMBERS,TRUE,CUCUMBERS
FRUIT & TREE NUTS,CURRANTS,ALL CLASSES,319,CURRANTS,FALSE,MISC VEGS & FRUITS
HORTICULTURE,CUT CHRISTMAS TREES,ALL CLASSES,297445,CUT CHRISTMAS TREES,TRUE,CUT CHRISTMAS TREES
HORTICULTURE,CUT FLOWERS & CUT CULTIVATED GREENS,ALL CLASSES,16906,torm,NA,NA
VEGETABLES,DAIKON,ALL CLASSES,1018.5,MUSTARD,TRUE,MUSTARD
FRUIT & TREE NUTS,DATES,ALL CLASSES,7182,DATES,FALSE,MISC VEGS & FRUITS
FIELD CROPS,DILL,ALL CLASSES,28,DILL,FALSE,OTHER CROPS
VEGETABLES,EGGPLANT,ALL CLASSES,6973,EGGPLANT,TRUE,EGGPLANT
FIELD CROPS,EMMER & SPELT,ALL CLASSES,9914,"WHEAT, COMMON",TRUE,"WHEAT, COMMON"
VEGETABLES,ESCAROLE & ENDIVE,ALL CLASSES,2244.5,ESCAROLE & ENDIVE,FALSE,MISC VEGS & FRUITS
FIELD CROPS,"FIELD CROPS, OTHER",ALL CLASSES,20519,torm,NA,NA
FRUIT & TREE NUTS,FIGS,ALL CLASSES,6180,FIGS,FALSE,MISC VEGS & FRUITS
FIELD CROPS,FLAXSEED,ALL CLASSES,331067,FLAXSEED,TRUE,FLAXSEED
HORTICULTURE,"FLORICULTURE, OTHER",ALL CLASSES,2801.5,torm,NA,NA
HORTICULTURE,FLOWER SEEDS,ALL CLASSES,4478.5,torm,NA,NA
HORTICULTURE,"FLOWERING PLANTS, POTTED",INDOOR USE,2287,torm,NA,NA
HORTICULTURE,FOLIAGE PLANTS,INDOOR USE,2678,torm,NA,NA
VEGETABLES,GARLIC,ALL CLASSES,22223,GARLIC,TRUE,GARLIC
VEGETABLES,GINGER ROOT,ALL CLASSES,51,GINGER ROOT,FALSE,MISC VEGS & FRUITS
VEGETABLES,GINSENG,ALL CLASSES,543,GINSENG,FALSE,MISC VEGS & FRUITS
FRUIT & TREE NUTS,GRAPEFRUIT,ALL CLASSES,85182,VINES,TRUE,VINES
FRUIT & TREE NUTS,GRAPES,ALL CLASSES,1131935,VINES,TRUE,VINES
FIELD CROPS,GRASSES,FESCUE,199585,FESCUE,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,BAHIA GRASS,5759,BAHIA GRASS,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,RYEGRASS,237705,RYEGRASS,FALSE,SOD/GRASS
FIELD CROPS,GRASSES,"BLUEGRASS, KENTUCKY",46708,"BLUEGRASS, KENTUCKY",FALSE,SOD/GRASS
FIELD CROPS,GRASSES,BERMUDA GRASS,200,BERMUDA GRASS,FALSE,SOD/GRASS
