"CODE","CLASS","Freq","FAMILY","%Tot","%AG"
0,"Background",6191540929,"NON-AG",41.7043,0
1,"Corn",408946385,"POACEAE",2.7545,30.13834
2,"Cotton",70341119,"MALVACEAE",0.4738,5.18397
3,"Rice",12215517,"POACEAE",0.0823,0.90025
4,"Sorghum",22734341,"POACEAE",0.1531,1.67546
5,"Soybeans",316973699,"FABACEAE",2.135,23.36018
6,"Sunflower",5368589,"ASTERACEAE",0.0362,0.39565
10,"Peanuts",5003955,"FABACEAE",0.0337,0.36878
11,"Tobacco",167839,"SOLANACEAE",0.0011,0.01237
12,"Sweet Corn",1223765,"POACEAE",0.0082,0.09019
13,"Pop or Orn Corn",415076,"POACEAE",0.0028,0.03059
14,"Mint",59012,"LAMIACEAE",4e-04,0.00435
21,"Barley",7856114,"POACEAE",0.0529,0.57898
22,"Durum Wheat",5078434,"POACEAE",0.0342,0.37427
23,"Spring Wheat",59991178,"POACEAE",0.4041,4.4212
24,"Winter Wheat",155521512,"POACEAE",1.0475,11.46155
25,"Other Small Grains",12024,"POACEAE",1e-04,0.00089
26,"Dbl Crop WinWht/Soybeans",22075689,"DOUBLE-CROP",0.1487,1.62692
27,"Rye",2130845,"POACEAE",0.0144,0.15704
28,"Oats",5245719,"POACEAE",0.0353,0.3866
29,"Millet",2075242,"POACEAE",0.014,0.15294
30,"Speltz",24262,"POACEAE",2e-04,0.00179
31,"Canola",4428098,"BRASSICACEAE",0.0298,0.32634
32,"Flaxseed",435659,"LINACEAE",0.0029,0.03211
33,"Safflower",548990,"ASTERACEAE",0.0037,0.04046
34,"Rape Seed",5511,"BRASSICACEAE",0,0.00041
35,"Mustard",50415,"BRASSICACEAE",3e-04,0.00372
36,"Alfalfa",78271280,"FABACEAE",0.5272,5.7684
37,"Other Hay/Non Alfalfa",105204059,"UNDEFINED",0.7086,7.75328
38,"Camelina",7436,"BRASSICACEAE",1e-04,0.00055
41,"Sugarbeets",4881908,"AMARANTHACEAE",0.0329,0.35978
42,"Dry Beans",5090787,"FABACEAE",0.0343,0.37518
43,"Potatoes",4692424,"SOLANACEAE",0.0316,0.34582
44,"Other Crops",841459,"UNDEFINED",0.0057,0.06201
45,"Sugarcane",4241144,"POACEAE",0.0286,0.31256
46,"Sweet Potatoes",239550,"CONVOLVULACEAE",0.0016,0.01765
47,"Misc Vegs & Fruits",254538,"UNDEFINED",0.0017,0.01876
48,"Watermelons",152859,"CUCURBITACEAE",0.001,0.01127
49,"Onions",601817,"AMARYLLIDACEAE",0.0041,0.04435
50,"Cucumbers",22789,"CUCURBITACEAE",2e-04,0.00168
52,"Lentils",1686690,"FABACEAE",0.0114,0.1243
53,"Peas",2150644,"FABACEAE",0.0145,0.1585
54,"Tomatoes",1582365,"SOLANACEAE",0.0107,0.11662
55,"Caneberries",14816,"ROSACEAE",1e-04,0.00109
56,"Hops",63151,"CANNABACEAE",4e-04,0.00465
57,"Herbs",387297,"UNDEFINED",0.0026,0.02854
58,"Clover/Wildflowers",917075,"UNDEFINED",0.0062,0.06759
59,"Sod/Grass Seed",3827488,"POACEAE",0.0258,0.28208
60,"Switchgrass",106150,"POACEAE",7e-04,0.00782
61,"Fallow/Idle Cropland",117769981,"NON-AG",0.7933,0
66,"Cherries",786956,"ROSACEAE",0.0053,0.058
67,"Peaches",177517,"ROSACEAE",0.0012,0.01308
68,"Apples",2362927,"ROSACEAE",0.0159,0.17414
69,"Grapes",3632074,"VITACEAE",0.0245,0.26767
70,"Christmas Trees",498470,"PINACEAE",0.0034,0.03674
71,"Other Tree Crops",246270,"UNDEFINED",0.0017,0.01815
72,"Citrus",602438,"RUTACEAE",0.0041,0.0444
74,"Pecans",1481775,"JUGLANDACEAE",0.01,0.1092
75,"Almonds",5037569,"ROSACEAE",0.0339,0.37126
76,"Walnuts",1551055,"JUGLANDACEAE",0.0104,0.11431
77,"Pears",150349,"ROSACEAE",0.001,0.01108
92,"Aquaculture",1016395,"NON-AG",0.0068,0
111,"Open Water",148144772,"NON-AG",0.9979,0
112,"Perennial Ice/Snow",1892567,"NON-AG",0.0127,0
121,"Developed/Open Space",289242304,"NON-AG",1.9482,0
122,"Developed/Low Intensity",127636333,"NON-AG",0.8597,0
123,"Developed/Med Intensity",51000156,"NON-AG",0.3435,0
124,"Developed/High Intensity",17605274,"NON-AG",0.1186,0
131,"Barren",92965495,"NON-AG",0.6262,0
141,"Deciduous Forest",1075449387,"NON-AG",7.2439,0
142,"Evergreen Forest",1119067380,"NON-AG",7.5377,0
143,"Mixed Forest",134936677,"NON-AG",0.9089,0
152,"Shrubland",1930321388,"NON-AG",13.002,0
176,"Grass/Pasture",1744621981,"NON-AG",11.7512,0
190,"Woody Wetlands",340565017,"NON-AG",2.2939,0
