"CODE","CLASS","Freq","FAMILY","%TOT","%AG"
0,"Background",6191540850,"NON-AG",41.7043,0
1,"Corn",409816883,"POACEAE",2.7604,27.58079
2,"Cotton",57211101,"MALVACEAE",0.3854,3.85032
3,"Rice",11499053,"POACEAE",0.0775,0.77389
4,"Sorghum",27676255,"POACEAE",0.1864,1.86262
5,"Soybeans",407046129,"FABACEAE",2.7417,27.39432
6,"Sunflower",5775607,"ASTERACEAE",0.0389,0.3887
10,"Peanuts",7011354,"FABACEAE",0.0472,0.47187
11,"Tobacco",439731,"SOLANACEAE",0.003,0.02959
12,"Sweet Corn",59457,"POACEAE",4e-04,0.004
13,"Pop or Orn Corn",833211,"POACEAE",0.0056,0.05608
14,"Mint",50139,"LAMIACEAE",3e-04,0.00337
21,"Barley",9981911,"POACEAE",0.0672,0.67179
22,"Durum Wheat",9035265,"POACEAE",0.0609,0.60808
23,"Spring Wheat",57241271,"POACEAE",0.3856,3.85235
24,"Winter Wheat",135893697,"POACEAE",0.9153,9.14568
25,"Other Small Grains",130304,"POACEAE",9e-04,0.00877
26,"Dbl Crop WinWht/Soybeans",14625781,"DOUBLE-CROP",0.0985,0.98432
27,"Rye",3392148,"POACEAE",0.0228,0.22829
28,"Oats",7365227,"POACEAE",0.0496,0.49568
29,"Millet",3431378,"POACEAE",0.0231,0.23093
30,"Speltz",16819,"POACEAE",1e-04,0.00113
31,"Canola",8775204,"BRASSICACEAE",0.0591,0.59057
32,"Flaxseed",921769,"LINACEAE",0.0062,0.06204
33,"Safflower",810010,"ASTERACEAE",0.0055,0.05451
34,"Rape Seed",21299,"BRASSICACEAE",1e-04,0.00143
35,"Mustard",353707,"BRASSICACEAE",0.0024,0.0238
36,"Alfalfa",87682668,"FABACEAE",0.5906,5.90107
37,"Other Hay/Non Alfalfa",135583811,"UNDEFINED",0.9132,9.12483
38,"Camelina",1094,"BRASSICACEAE",0,7e-05
39,"Buckwheat",65774,"POLYGONACEAE",4e-04,0.00443
41,"Sugarbeets",4868662,"AMARANTHACEAE",0.0328,0.32766
42,"Dry Beans",9671521,"FABACEAE",0.0651,0.6509
43,"Potatoes",3891171,"SOLANACEAE",0.0262,0.26188
44,"Other Crops",320400,"UNDEFINED",0.0022,0.02156
45,"Sugarcane",4800695,"POACEAE",0.0323,0.32309
46,"Sweet Potatoes",651753,"CONVOLVULACEAE",0.0044,0.04386
47,"Misc Vegs & Fruits",18420,"UNDEFINED",1e-04,0.00124
48,"Watermelons",277648,"CUCURBITACEAE",0.0019,0.01869
49,"Onions",795324,"AMARYLLIDACEAE",0.0054,0.05353
50,"Cucumbers",290677,"CUCURBITACEAE",0.002,0.01956
51,"Chick Peas",433,"FABACEAE",0,3e-05
52,"Lentils",4920539,"FABACEAE",0.0331,0.33115
