"","class","ID","freq","perc.tot","perc.ag"
"1","Corn",1,4031962854,3.43130335409387,31.4583016792147
"2","Soybeans",21,3420636814,2.91104928245333,26.6885952887898
"3","Wheat",5,2161923507,1.83985211408981,16.867824519544
"4","Alfalfa",23,799657216,0.680528711881373,6.23910954832645
"5","Cotton",131,507444104,0.431847891243087,3.95919562927868
"6","Sorghum",3,306263870,0.260638374514342,2.38954116512895
"7","Dbl Crop WinWht-Soybeans",201,207105260,0.176251865163756,1.6158828799647
"8","Rice",2,130534318,0.111088038108636,1.01845877648915
"9","Barley",4,114390102,0.0973488980133694,0.892497889523498
"10","Durum Wheat",14,82962654,0.070603337194021,0.64729371081659
"11","Dry Beans",20,74965898,0.0637978936226724,0.584901180971356
"12","Sunflower",71,66945704,0.0569725037147813,0.522325782458563
"13","Oats",7,66193240,0.056332137634902,0.516454885237557
"14","Canola",41,61585989,0.0524112493772712,0.48050805310688
"15","Peanuts",22,60437060,0.0514334814577566,0.471543844755074
"16","Almonds",34,53198778,0.0452735186297664,0.415069103533356
"17","Oranges",92,50730400,0.0431728659161213,0.395810250564187
"18","Sugarbeets",135,49797735,0.0423791441833997,0.388533383688656
"19","Peas",26,48036266,0.0408800890812833,0.374789997351251
"20","Sod-Grass Seed",11,47165416,0.0401389734921483,0.36799542532533
"21","Grapes",138,46659651,0.0397085545612889,0.364049330451712
"22","Sugarcane",9,45610877,0.03881602110446,0.355866554449054
"23","Potatoes",62,44534286,0.0378998146702607,0.347466743813515
"24","Millet",8,26344768,0.022420070341557,0.205547940152953
"25","Rye",6,23638643,0.0201170888595016,0.184434130399669
"26","Lentils",25,22555707,0.0191954826682683,0.175984814614558
"27","Apples",33,19248285,0.0163807820837267,0.150179547347959
"28","Pecans",101,18711649,0.0159240911435061,0.145992589830932
"29","Walnuts",102,17819592,0.0151649278558022,0.139032555912659
"30","Dbl Crop WinWht-Sorghum",210,15737276,0.0133928237631281,0.122785847475237
"31","Dbl Crop WinWht-Corn",202,15673007,0.013338129202873,0.122284405953122
"32","Tomatoes",63,13061248,0.011115455596668,0.101906861439314
"33","Pistachios",139,11538899,0.00981989772102458,0.0900291443478633
"34","Flaxseed",133,10874308,0.00925431380818217,0.0848438524867168
"35","Triticale",13,10203522,0.00868345779213634,0.079610225810504
"36","Dbl Crop WinWht-Cotton",212,9966872,0.00848206259874046,0.077763828072737
"37","Cherries",31,8656797,0.00736715531799632,0.0675423215597216
"38","Clover-Wildflowers",197,7907581,0.0067295533690621,0.0616967659818689
"39","Safflower",72,7306680,0.00621817127268866,0.0570083981516474
"40","Blueberries",121,6858404,0.00583667694894165,0.0535108456805075
"41","Citrus",91,6855068,0.00583383792774931,0.053484817441111
"42","Onions",81,6277402,0.00534222940973443,0.0489777344257512
"43","Other Crops",192,6091779,0.00518425949642903,0.0475294610799767
"44","Dbl Crop Oats-Corn",203,4874471,0.00414829930170118,0.038031744040612
"45","Herbs",194,4722627,0.00401907618001936,0.0368470222231875
"46","Other Tree Crops",195,4438312,0.00377711685438932,0.0346287311908054
"47","Tobacco",61,4089476,0.00348024851006883,0.0319070324743394
"48","Christmas Trees",150,3771918,0.0032099985425032,0.029429371908906
"49","Dbl Crop Barley-Soybeans",216,3662123,0.00311656019363821,0.0285727260622205
"50","Sweet Potatoes",136,3540793,0.00301330526520076,0.027626081492082
"51","Peaches-Nectarines",32,2769128,0.00235659864398028,0.0216053736521751
"52","Plums",37,2464628,0.00209746136788037,0.0192295946065379
"53","Olives",142,2364164,0.00201196393830368,0.0184457513683083
"54","Squash",55,2052108,0.00174639631324412,0.0160110186725272
"55","Carrots",111,2020737,0.0017196987911143,0.0157662549141013
"56","Watermelons",51,1897472,0.00161479712826223,0.0148045130288452
"57","Lettuce",73,1846836,0.00157170459915683,0.0144094393087963
"58","Misc Vegs & Fruits",193,1767175,0.00150391105383205,0.0137879058619835
"59","Strawberries",39,1711814,0.00145679742906303,0.0133559666050195
"60","Hops",137,1683481,0.00143268532251545,0.0131349060214398
"61","Brassica oleracea",46,1683048,0.00143231682845781,0.0131315276558346
"62","Mustard",43,1660371,0.00141301812234905,0.0129545964853324
"63","Cucumbers",52,1615715,0.00137501472595654,0.0126061801008925
"64","Cantaloupes",53,1571229,0.00133715600390538,0.0122590900955584
